the,of,is,cause
pokemon/name,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,grimmsnarl,
pokemon/stat/attack,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,120,
pokemon/stat/defense,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,65,
pokemon/stat/hp,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,95,
pokemon/stat/special-attack,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,95,
pokemon/stat/special-defense,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,75,
pokemon/stat/speed,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,60,
pokemon/type/0,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,dark,
pokemon/type/1,1br79uXm91vazzwv34GWpKLNFxzsesKHmVUGM4TVhNb,fairy,
pokemon/name,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,serperior,
pokemon/stat/attack,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,75,
pokemon/stat/defense,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,95,
pokemon/stat/hp,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,75,
pokemon/stat/special-attack,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,75,
pokemon/stat/special-defense,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,95,
pokemon/stat/speed,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,113,
pokemon/type/0,1whyQwEcdeYG5FUhS9j5uQD224Xk8o2PUv1bYQk5Jap,grass,
pokemon/name,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,tandemaus,
pokemon/stat/attack,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,50,
pokemon/stat/defense,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,45,
pokemon/stat/hp,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,50,
pokemon/stat/special-attack,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,40,
pokemon/stat/special-defense,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,45,
pokemon/stat/speed,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,75,
pokemon/type/0,12FKeg6RLb1Whn2wFvPhe2kT9p2a91AqqGEALjjvwUzb,normal,
pokemon/name,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,miraidon-drive-mode,
pokemon/stat/attack,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,85,
pokemon/stat/defense,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,100,
pokemon/stat/hp,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,100,
pokemon/stat/special-attack,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,135,
pokemon/stat/special-defense,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,115,
pokemon/stat/speed,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,135,
pokemon/type/0,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,electric,
pokemon/type/1,13K3kFkmSHUhFPGcxqrmqMtmP43wfdonU9VLNeF63reJ,dragon,
pokemon/name,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,zamazenta-crowned,
pokemon/stat/attack,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,120,
pokemon/stat/defense,13hsMvnQCog4XMtkAfmF4XDcKw89x2i7Em7Zkg88t67D,140,
